city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,207440,12974,14122,15428,13836,12362,11569,16697,20124,17770,16044,13997,11924,10033,6270,4828,3876,2747,1883,768,153,35,42524,144356,20560
新竹市,東區,男,102197,6775,7423,8012,7204,6306,5830,7901,9429,8434,7890,7078,5883,4828,2874,2056,1620,1216,952,391,75,20,22210,70783,9204
新竹市,東區,女,105243,6199,6699,7416,6632,6056,5739,8796,10695,9336,8154,6919,6041,5205,3396,2772,2256,1531,931,377,78,15,20314,73573,11356
新竹市,北區,計,148729,8300,7702,8008,9473,9592,9720,12927,13965,11813,11556,10854,9732,8352,5246,4045,2983,2163,1563,594,126,15,24010,107984,16735
新竹市,北區,男,72969,4290,4043,4146,4866,5024,4887,6138,6737,5779,5671,5349,4574,3918,2409,1704,1241,972,825,322,65,9,12479,52943,7547
新竹市,北區,女,75760,4010,3659,3862,4607,4568,4833,6789,7228,6034,5885,5505,5158,4434,2837,2341,1742,1191,738,272,61,6,11531,55041,9188
新竹市,香山區,計,76390,4449,3229,3504,5064,5628,5527,7645,7511,6045,5765,5835,4906,4130,2350,1786,1300,942,537,191,39,7,11182,58056,7152
新竹市,香山區,男,38946,2316,1680,1872,2671,2906,2799,3837,3888,3256,2972,2921,2462,2001,1152,854,580,433,255,79,8,4,5868,29713,3365
新竹市,香山區,女,37444,2133,1549,1632,2393,2722,2728,3808,3623,2789,2793,2914,2444,2129,1198,932,720,509,282,112,31,3,5314,28343,3787
新竹縣,竹北市,計,166799,12990,13474,11856,10621,9534,8508,14359,19762,17207,13011,10097,7638,5957,3744,3068,2318,1477,840,267,59,12,38320,116694,11785
新竹縣,竹北市,男,83152,6682,7026,6223,5557,4928,4303,6724,9188,8582,6587,5128,3846,2828,1793,1481,1073,648,421,107,19,8,19931,57671,5550
新竹縣,竹北市,女,83647,6308,6448,5633,5064,4606,4205,7635,10574,8625,6424,4969,3792,3129,1951,1587,1245,829,419,160,40,4,18389,59023,6235
新竹縣,關西鎮,計,30382,1079,1095,1581,1966,2107,1866,2072,2014,2117,2366,2402,2145,1836,1222,1410,1370,971,518,195,47,3,3755,20891,5736
新竹縣,關西鎮,男,16206,524,591,834,1010,1082,1021,1041,1066,1195,1359,1432,1207,1014,614,720,692,465,235,86,18,0,1949,11427,2830
新竹縣,關西鎮,女,14176,555,504,747,956,1025,845,1031,948,922,1007,970,938,822,608,690,678,506,283,109,29,3,1806,9464,2906
新竹縣,新埔鎮,計,34222,1265,1123,1469,2081,2637,2510,2731,2439,2126,2372,2819,2651,2273,1399,1309,1286,923,571,189,46,3,3857,24639,5726
新竹縣,新埔鎮,男,18211,662,575,777,1124,1435,1336,1469,1344,1177,1308,1505,1435,1220,759,658,623,437,274,76,16,1,2014,13353,2844
新竹縣,新埔鎮,女,16011,603,548,692,957,1202,1174,1262,1095,949,1064,1314,1216,1053,640,651,663,486,297,113,30,2,1843,11286,2882
新竹縣,竹東鎮,計,96032,4280,4988,6171,7156,7125,6224,7563,7933,7571,7356,7213,5997,4829,3179,2854,2585,1699,913,311,75,10,15439,68967,11626
新竹縣,竹東鎮,男,48290,2173,2597,3264,3759,3636,3260,3741,3883,3776,3776,3651,3009,2331,1549,1353,1170,786,418,130,23,5,8034,34822,5434
新竹縣,竹東鎮,女,47742,2107,2391,2907,3397,3489,2964,3822,4050,3795,3580,3562,2988,2498,1630,1501,1415,913,495,181,52,5,7405,34145,6192
新竹縣,湖口鄉,計,77019,3663,3855,4617,5566,6096,5477,6525,6630,5703,5915,5862,4908,3870,2327,2082,1662,1160,794,249,48,10,12135,56552,8332
新竹縣,湖口鄉,男,39153,1889,2068,2412,2896,3224,2766,3251,3354,2926,2965,2972,2478,1920,1060,971,751,644,457,118,26,5,6369,28752,4032
新竹縣,湖口鄉,女,37866,1774,1787,2205,2670,2872,2711,3274,3276,2777,2950,2890,2430,1950,1267,1111,911,516,337,131,22,5,5766,27800,4300
新竹縣,橫山鄉,計,13669,472,447,568,873,977,811,956,885,872,1072,1077,1006,909,602,688,631,415,277,105,20,6,1487,9438,2744
新竹縣,橫山鄉,男,7418,251,237,296,459,522,425,518,485,497,644,644,577,519,314,348,306,189,126,46,13,2,784,5290,1344
新竹縣,橫山鄉,女,6251,221,210,272,414,455,386,438,400,375,428,433,429,390,288,340,325,226,151,59,7,4,703,4148,1400
新竹縣,新豐鄉,計,56002,2867,3280,3480,4136,4318,3853,4857,5127,4351,4147,4159,3378,2663,1611,1300,1070,746,462,150,37,10,9627,40989,5386
新竹縣,新豐鄉,男,28727,1472,1730,1814,2202,2295,1998,2408,2555,2266,2136,2177,1728,1340,816,615,508,363,214,67,18,5,5016,21105,2606
新竹縣,新豐鄉,女,27275,1395,1550,1666,1934,2023,1855,2449,2572,2085,2011,1982,1650,1323,795,685,562,383,248,83,19,5,4611,19884,2780
新竹縣,芎林鄉,計,20277,787,709,888,1463,1572,1457,1531,1362,1414,1568,1670,1462,1254,772,761,711,487,298,79,27,5,2384,14753,3140
新竹縣,芎林鄉,男,10723,403,385,465,759,820,779,802,675,749,865,921,811,668,430,392,375,253,132,30,8,1,1253,7849,1621
新竹縣,芎林鄉,女,9554,384,324,423,704,752,678,729,687,665,703,749,651,586,342,369,336,234,166,49,19,4,1131,6904,1519
新竹縣,寶山鄉,計,14284,491,398,583,984,1187,931,1001,1096,1046,1295,1327,1092,808,470,503,461,325,205,68,10,3,1472,10767,2045
新竹縣,寶山鄉,男,7725,261,205,305,492,633,499,533,600,560,727,760,643,441,277,264,241,155,93,31,4,1,771,5888,1066
新竹縣,寶山鄉,女,6559,230,193,278,492,554,432,468,496,486,568,567,449,367,193,239,220,170,112,37,6,2,701,4879,979
新竹縣,北埔鄉,計,9775,330,311,477,672,717,638,660,622,657,756,781,679,577,390,499,467,299,164,60,18,1,1118,6759,1898
新竹縣,北埔鄉,男,5259,169,165,244,348,364,342,341,341,372,430,485,424,307,195,258,245,139,64,21,5,0,578,3754,927
新竹縣,北埔鄉,女,4516,161,146,233,324,353,296,319,281,285,326,296,255,270,195,241,222,160,100,39,13,1,540,3005,971
新竹縣,峨眉鄉,計,5686,165,134,173,286,362,341,353,310,356,421,483,483,407,287,344,321,246,145,54,14,1,472,3802,1412
新竹縣,峨眉鄉,男,3155,73,69,109,157,179,190,187,165,199,255,310,312,239,166,172,165,123,47,30,8,0,251,2193,711
新竹縣,峨眉鄉,女,2531,92,65,64,129,183,151,166,145,157,166,173,171,168,121,172,156,123,98,24,6,1,221,1609,701
新竹縣,尖石鄉,計,9369,714,572,626,747,805,687,805,767,672,635,622,583,422,235,189,135,95,43,11,3,1,1912,6745,712
新竹縣,尖石鄉,男,4972,361,303,313,408,397,371,431,439,391,346,339,310,211,131,93,62,42,20,3,1,0,977,3643,352
新竹縣,尖石鄉,女,4397,353,269,313,339,408,316,374,328,281,289,283,273,211,104,96,73,53,23,8,2,1,935,3102,360
新竹縣,五峰鄉,計,4637,300,179,198,241,335,314,396,388,341,379,436,400,297,149,114,98,38,26,7,1,0,677,3527,433
新竹縣,五峰鄉,男,2531,162,84,100,131,169,151,218,248,209,216,241,206,177,79,60,48,15,13,4,0,0,346,1966,219
新竹縣,五峰鄉,女,2106,138,95,98,110,166,163,178,140,132,163,195,194,120,70,54,50,23,13,3,1,0,331,1561,214
